temperature,rainfall,humidity,yeild_apples
25.00,76.00,99.00,104.90
39.00,65.00,70.00,86.20
59.00,45.00,77.00,86.40
84.00,63.00,38.00,79.50
66.00,50.00,52.00,76.00
41.00,94.00,77.00,105.50
91.00,57.00,96.00,113.40
49.00,96.00,99.00,122.10
67.00,20.00,28.00,46.90
85.00,31.00,95.00,98.00
78.00,46.00,34.00,66.80
31.00,40.00,63.00,67.10
52.00,77.00,85.00,105.10
28.00,66.00,77.00,87.60
32.00,50.00,57.00,68.80
31.00,79.00,53.00,80.60
45.00,76.00,48.00,80.30
80.00,52.00,27.00,66.20
24.00,45.00,90.00,83.70
20.00,89.00,84.00,100.90
32.00,20.00,96.00,77.20
56.00,44.00,74.00,83.20
93.00,70.00,80.00,110.90
62.00,87.00,73.00,105.90
85.00,48.00,90.00,103.50
87.00,86.00,93.00,124.90
43.00,57.00,69.00,82.80
28.00,71.00,44.00,70.30
44.00,95.00,58.00,95.50
88.00,48.00,46.00,78.00
80.00,50.00,38.00,71.80
27.00,75.00,89.00,99.00
93.00,61.00,73.00,102.20
31.00,87.00,62.00,90.00
38.00,94.00,44.00,84.80
55.00,93.00,55.00,96.00
56.00,22.00,47.00,56.00
38.00,64.00,79.00,90.80
26.00,22.00,40.00,42.80
27.00,98.00,24.00,71.50
55.00,37.00,38.00,57.80
63.00,69.00,46.00,81.00
21.00,34.00,21.00,35.90
31.00,89.00,85.00,104.80
45.00,69.00,91.00,102.60
48.00,86.00,77.00,103.60
27.00,51.00,27.00,49.80
40.00,47.00,88.00,88.30
29.00,45.00,69.00,72.60
35.00,55.00,85.00,89.00
62.00,43.00,58.00,74.90
67.00,95.00,54.00,100.00
35.00,46.00,55.00,66.50
36.00,75.00,28.00,65.10
97.00,62.00,87.00,112.30
29.00,52.00,25.00,49.70
31.00,26.00,72.00,65.50
94.00,100.00,59.00,113.60
47.00,52.00,76.00,85.70
46.00,52.00,70.00,81.80
40.00,68.00,72.00,89.20
35.00,27.00,84.00,74.40
69.00,96.00,29.00,86.10
69.00,57.00,52.00,80.40
33.00,45.00,71.00,75.00
88.00,95.00,82.00,123.10
48.00,90.00,69.00,100.80
55.00,78.00,66.00,95.10
28.00,44.00,67.00,70.60
34.00,58.00,27.00,55.40
62.00,46.00,89.00,95.00
92.00,78.00,89.00,120.00
20.00,69.00,70.00,82.50
